# Probe 0 (2 0 0)
# Probe 1 (3 -1.5 0)
# Probe 2 (3 1.5 0)
# Probe 3 (4 -2 0)
# Probe 4 (4 2 0)
#       Probe             0             1             2             3             4
#        Time
        0.145             (0.94223 -0.00270205 8.85195e-22)             (0.995215 0.0179913 -1.69003e-22)             (0.995215 -0.0179913 1.41939e-22)             (1.00042 0.00713228 0)             (1.00042 -0.00713228 0)
       0.1475             (0.942117 -0.00270875 8.88416e-22)             (0.995221 0.0180264 -1.70359e-22)             (0.995221 -0.0180264 1.42822e-22)             (1.00042 0.0071541 0)             (1.00042 -0.0071541 0)
         0.15             (0.942003 -0.00271544 8.91727e-22)             (0.995226 0.0180614 -1.71564e-22)             (0.995226 -0.0180614 1.43588e-22)             (1.00043 0.00717576 0)             (1.00043 -0.00717576 0)
       0.1525             (0.941889 -0.00272213 8.95257e-22)             (0.995232 0.0180964 -1.72642e-22)             (0.995232 -0.0180964 1.44257e-22)             (1.00043 0.00719725 0)             (1.00043 -0.00719725 0)
        0.155             (0.941776 -0.00272881 8.98927e-22)             (0.995237 0.0181315 -1.73603e-22)             (0.995237 -0.0181315 1.44834e-22)             (1.00044 0.00721858 0)             (1.00044 -0.00721858 0)
       0.1575             (0.941662 -0.00273549 9.02181e-22)             (0.995243 0.0181665 -1.74375e-22)             (0.995243 -0.0181665 1.45261e-22)             (1.00044 0.00723976 0)             (1.00044 -0.00723976 0)
         0.16             (0.941548 -0.00274217 9.05582e-22)             (0.995248 0.0182015 -1.75037e-22)             (0.995248 -0.0182015 1.45603e-22)             (1.00045 0.00726079 0)             (1.00045 -0.00726079 0)
       0.1625             (0.941434 -0.00274884 9.0888e-22)             (0.995253 0.0182364 -1.75565e-22)             (0.995253 -0.0182364 1.45841e-22)             (1.00045 0.00728167 0)             (1.00045 -0.00728167 0)
        0.165             (0.94132 -0.00275551 9.12092e-22)             (0.995258 0.0182714 -1.75977e-22)             (0.995258 -0.0182714 1.45987e-22)             (1.00046 0.00730241 0)             (1.00046 -0.00730241 0)
       0.1675             (0.941207 -0.00276217 9.15303e-22)             (0.995264 0.0183064 -1.7628e-22)             (0.995264 -0.0183064 1.46048e-22)             (1.00046 0.00732301 0)             (1.00046 -0.00732301 0)
         0.17             (0.941093 -0.00276884 9.18681e-22)             (0.995269 0.0183414 -1.76427e-22)             (0.995269 -0.0183414 1.45997e-22)             (1.00047 0.00734348 0)             (1.00047 -0.00734348 0)
       0.1725             (0.940979 -0.0027755 9.22224e-22)             (0.995274 0.0183763 -1.76496e-22)             (0.995274 -0.0183763 1.45888e-22)             (1.00047 0.00736381 0)             (1.00047 -0.00736381 0)
        0.175             (0.940864 -0.00278216 9.25727e-22)             (0.995278 0.0184113 -1.76552e-22)             (0.995278 -0.0184113 1.45764e-22)             (1.00047 0.00738401 0)             (1.00047 -0.00738401 0)
       0.1775             (0.94075 -0.00278881 9.29201e-22)             (0.995283 0.0184463 -1.76525e-22)             (0.995283 -0.0184463 1.45578e-22)             (1.00048 0.00740409 0)             (1.00048 -0.00740409 0)
         0.18             (0.940636 -0.00279547 9.32284e-22)             (0.995288 0.0184812 -1.76369e-22)             (0.995288 -0.0184812 1.4529e-22)             (1.00048 0.00742404 0)             (1.00048 -0.00742404 0)
       0.1825             (0.940522 -0.00280213 9.35632e-22)             (0.995293 0.0185162 -1.76176e-22)             (0.995293 -0.0185162 1.44978e-22)             (1.00049 0.00744388 0)             (1.00049 -0.00744388 0)
        0.185             (0.940408 -0.00280878 9.3898e-22)             (0.995297 0.0185512 -1.75921e-22)             (0.995297 -0.0185512 1.44618e-22)             (1.00049 0.00746359 0)             (1.00049 -0.00746359 0)
       0.1875             (0.940293 -0.00281544 9.42327e-22)             (0.995302 0.0185861 -1.75604e-22)             (0.995302 -0.0185861 1.44213e-22)             (1.0005 0.00748319 0)             (1.0005 -0.00748319 0)
         0.19             (0.940179 -0.00282209 9.45638e-22)             (0.995307 0.0186211 -1.75223e-22)             (0.995307 -0.0186211 1.4376e-22)             (1.0005 0.00750268 0)             (1.0005 -0.00750268 0)
       0.1925             (0.940065 -0.00282875 9.48937e-22)             (0.995311 0.0186561 -1.74788e-22)             (0.995311 -0.0186561 1.43267e-22)             (1.00051 0.00752206 0)             (1.00051 -0.00752206 0)
        0.195             (0.93995 -0.0028354 9.52222e-22)             (0.995315 0.0186911 -1.74304e-22)             (0.995315 -0.0186911 1.42736e-22)             (1.00051 0.00754134 0)             (1.00051 -0.00754134 0)
       0.1975             (0.939835 -0.00284206 9.55493e-22)             (0.99532 0.018726 -1.73778e-22)             (0.99532 -0.018726 1.42174e-22)             (1.00052 0.0075605 0)             (1.00052 -0.00756051 0)
          0.2             (0.939721 -0.00284871 9.58726e-22)             (0.995324 0.018761 -1.73218e-22)             (0.995324 -0.018761 1.41581e-22)             (1.00052 0.00757957 0)             (1.00052 -0.00757957 0)
       0.2025             (0.939606 -0.00285537 9.6204e-22)             (0.995328 0.018796 -1.72568e-22)             (0.995328 -0.018796 1.40941e-22)             (1.00053 0.00759854 0)             (1.00053 -0.00759854 0)
        0.205             (0.939491 -0.00286203 9.65502e-22)             (0.995332 0.018831 -1.71869e-22)             (0.995332 -0.018831 1.40275e-22)             (1.00053 0.00761741 0)             (1.00053 -0.00761741 0)
       0.2075             (0.939376 -0.00286869 9.68431e-22)             (0.995336 0.0188659 -1.71124e-22)             (0.995336 -0.0188659 1.39553e-22)             (1.00054 0.00763619 0)             (1.00054 -0.00763619 0)
         0.21             (0.939261 -0.00287536 9.71642e-22)             (0.99534 0.0189009 -1.70395e-22)             (0.99534 -0.0189009 1.38846e-22)             (1.00054 0.00765488 0)             (1.00054 -0.00765488 0)
       0.2125             (0.939146 -0.00288202 9.74863e-22)             (0.995344 0.0189359 -1.69648e-22)             (0.995344 -0.0189359 1.38125e-22)             (1.00054 0.00767347 0)             (1.00054 -0.00767347 0)
        0.215             (0.939031 -0.00288869 9.78149e-22)             (0.995348 0.0189708 -1.68896e-22)             (0.995348 -0.0189708 1.37401e-22)             (1.00055 0.00769198 0)             (1.00055 -0.00769198 0)
       0.2175             (0.938916 -0.00289536 9.81347e-22)             (0.995351 0.0190058 -1.67998e-22)             (0.995351 -0.0190058 1.36582e-22)             (1.00055 0.0077104 0)             (1.00055 -0.0077104 0)
         0.22             (0.938801 -0.00290204 9.84638e-22)             (0.995355 0.0190408 -1.67088e-22)             (0.995355 -0.0190408 1.35756e-22)             (1.00056 0.00772874 0)             (1.00056 -0.00772874 0)
       0.2225             (0.938685 -0.00290872 9.87426e-22)             (0.995359 0.0190757 -1.66174e-22)             (0.995359 -0.0190757 1.34913e-22)             (1.00056 0.00774699 0)             (1.00056 -0.00774699 0)
        0.225             (0.93857 -0.0029154 9.90364e-22)             (0.995362 0.0191107 -1.6528e-22)             (0.995362 -0.0191107 1.34088e-22)             (1.00057 0.00776516 0)             (1.00057 -0.00776517 0)
       0.2275             (0.938454 -0.00292209 9.93515e-22)             (0.995366 0.0191457 -1.64327e-22)             (0.995366 -0.0191457 1.33226e-22)             (1.00057 0.00778326 0)             (1.00057 -0.00778326 0)
         0.23             (0.938339 -0.00292878 9.96239e-22)             (0.995369 0.0191806 -1.63273e-22)             (0.995369 -0.0191806 1.32285e-22)             (1.00058 0.00780128 0)             (1.00058 -0.00780128 0)
       0.2325             (0.938223 -0.00293548 9.98975e-22)             (0.995373 0.0192156 -1.6227e-22)             (0.995373 -0.0192156 1.31382e-22)             (1.00058 0.00781923 0)             (1.00058 -0.00781923 0)
        0.235             (0.938107 -0.00294218 1.00188e-21)             (0.995376 0.0192506 -1.61279e-22)             (0.995376 -0.0192506 1.30492e-22)             (1.00058 0.0078371 0)             (1.00058 -0.0078371 0)
       0.2375             (0.937991 -0.00294889 1.0048e-21)             (0.995379 0.0192856 -1.60276e-22)             (0.995379 -0.0192856 1.29594e-22)             (1.00059 0.0078549 0)             (1.00059 -0.0078549 0)
         0.24             (0.937875 -0.00295561 1.00782e-21)             (0.995382 0.0193205 -1.59277e-22)             (0.995382 -0.0193205 1.28701e-22)             (1.00059 0.00787263 0)             (1.00059 -0.00787263 0)
       0.2425             (0.937759 -0.00296233 1.01058e-21)             (0.995386 0.0193555 -1.58225e-22)             (0.995386 -0.0193555 1.27767e-22)             (1.0006 0.00789029 0)             (1.0006 -0.00789029 0)
        0.245             (0.937642 -0.00296905 1.01351e-21)             (0.995389 0.0193905 -1.57191e-22)             (0.995389 -0.0193905 1.2685e-22)             (1.0006 0.00790788 0)             (1.0006 -0.00790788 0)
       0.2475             (0.937526 -0.00297578 1.01622e-21)             (0.995392 0.0194255 -1.56114e-22)             (0.995392 -0.0194255 1.25899e-22)             (1.00061 0.0079254 0)             (1.00061 -0.0079254 0)
         0.25             (0.937409 -0.00298252 1.019e-21)             (0.995395 0.0194604 -1.55041e-22)             (0.995395 -0.0194604 1.24953e-22)             (1.00061 0.00794286 0)             (1.00061 -0.00794286 0)
       0.2525             (0.937292 -0.00298927 1.02159e-21)             (0.995398 0.0194954 -1.53934e-22)             (0.995398 -0.0194954 1.23978e-22)             (1.00061 0.00796024 0)             (1.00061 -0.00796024 0)
        0.255             (0.937176 -0.00299602 1.02473e-21)             (0.995401 0.0195304 -1.52908e-22)             (0.995401 -0.0195304 1.23072e-22)             (1.00062 0.00797757 0)             (1.00062 -0.00797757 0)
       0.2575             (0.937059 -0.00300279 1.0276e-21)             (0.995403 0.0195654 -1.51795e-22)             (0.995403 -0.0195654 1.22122e-22)             (1.00062 0.00799486 0)             (1.00062 -0.00799486 0)
         0.26             (0.936942 -0.00300955 1.03036e-21)             (0.995406 0.0196003 -1.50662e-22)             (0.995406 -0.0196003 1.21145e-22)             (1.00063 0.0080121 0)             (1.00063 -0.0080121 0)
       0.2625             (0.936824 -0.00301633 1.0331e-21)             (0.995409 0.0196353 -1.49554e-22)             (0.995409 -0.0196353 1.20181e-22)             (1.00063 0.00802927 0)             (1.00063 -0.00802927 0)
        0.265             (0.936707 -0.00302311 1.03584e-21)             (0.995412 0.0196702 -1.48435e-22)             (0.995412 -0.0196702 1.1921e-22)             (1.00064 0.00804639 0)             (1.00064 -0.00804639 0)
       0.2675             (0.93659 -0.00302991 1.03867e-21)             (0.995414 0.0197052 -1.47325e-22)             (0.995414 -0.0197052 1.18248e-22)             (1.00064 0.00806345 0)             (1.00064 -0.00806345 0)
         0.27             (0.936472 -0.00303671 1.0411e-21)             (0.995417 0.0197401 -1.46154e-22)             (0.995417 -0.0197401 1.17237e-22)             (1.00064 0.00808046 0)             (1.00064 -0.00808046 0)
       0.2725             (0.936354 -0.00304352 1.04363e-21)             (0.995419 0.0197751 -1.44998e-22)             (0.995419 -0.0197751 1.16239e-22)             (1.00065 0.00809742 0)             (1.00065 -0.00809742 0)
        0.275             (0.936236 -0.00305034 1.04625e-21)             (0.995422 0.01981 -1.43845e-22)             (0.995422 -0.01981 1.15246e-22)             (1.00065 0.00811432 0)             (1.00065 -0.00811432 0)
       0.2775             (0.936118 -0.00305717 1.04888e-21)             (0.995424 0.019845 -1.4265e-22)             (0.995424 -0.019845 1.14223e-22)             (1.00066 0.00813117 0)             (1.00066 -0.00813117 0)
         0.28             (0.936 -0.003064 1.05148e-21)             (0.995427 0.0198799 -1.41458e-22)             (0.995427 -0.0198799 1.13204e-22)             (1.00066 0.00814797 0)             (1.00066 -0.00814797 0)
       0.2825             (0.935882 -0.00307085 1.05414e-21)             (0.995429 0.0199149 -1.40312e-22)             (0.995429 -0.0199149 1.12218e-22)             (1.00066 0.00816472 0)             (1.00066 -0.00816472 0)
